  2.211848E+57  1.590254E+57  1.711720E+57  3.302304E+52  2.823673E+52  3.267222E+52
 
  0.00E+00  1.00E+00  9.979592E+54  5.678366E+54  6.725793E+54  7.167956E+48  5.095270E+48  6.016979E+48
  1.00E+00  2.50E+00  5.376164E+55  3.636902E+55  4.349469E+55  1.530695E+50  1.045917E+50  1.250057E+50
  2.50E+00  4.50E+00  1.313102E+56  7.526586E+55  8.789655E+55  7.383282E+50  4.261547E+50  4.980042E+50
  4.50E+00  7.00E+00  2.032225E+56  1.052281E+56  1.118384E+56  1.870679E+51  9.729414E+50  1.035843E+51
  7.00E+00  1.00E+01  1.949416E+56  1.140617E+56  1.092244E+56  2.647622E+51  1.554670E+51  1.491930E+51
  1.00E+01  1.40E+01  1.089548E+56  9.093040E+55  8.530022E+55  2.086112E+51  1.746830E+51  1.643186E+51
  1.40E+01  1.90E+01  4.243946E+55  4.914937E+55  5.215494E+55  1.116484E+51  1.296437E+51  1.379759E+51
  1.90E+01  2.50E+01  1.328184E+55  1.849814E+55  2.491485E+55  4.657773E+50  6.499145E+50  8.778333E+50
  2.50E+01  3.20E+01  3.690350E+54  5.347858E+54  9.463411E+54  1.676231E+50  2.432075E+50  4.314790E+50
  3.20E+01  4.00E+01  1.004137E+54  1.388175E+54  3.048098E+54  5.760947E+49  7.969565E+49  1.753599E+50
  4.00E+01  4.80E+01  3.160087E+53  4.104293E+53  1.008146E+54  2.218521E+49  2.882029E+49  7.086838E+49
  4.80E+01  5.80E+01  9.926041E+52  1.231263E+53  3.442142E+53  8.389208E+48  1.040717E+49  2.911142E+49
  5.80E+01  6.80E+01  3.611812E+52  4.289087E+52  1.407071E+53  3.632896E+48  4.314191E+48  1.415488E+49
  6.80E+01  8.00E+01  1.298590E+52  1.476835E+52  6.196731E+52  1.533990E+48  1.744554E+48  7.320251E+48
  8.00E+01  9.50E+01  4.499189E+51  4.845423E+51  2.789846E+52  6.281902E+47  6.765344E+47  3.895271E+48
  9.50E+01  1.15E+02  1.449508E+51  1.439900E+51  1.233296E+52  2.426446E+47  2.410362E+47  2.064511E+48
  1.15E+02  1.45E+02  3.849885E+50  3.536279E+50  4.946864E+51  7.962022E+46  7.313449E+46  1.023071E+48
  1.45E+02  1.85E+02  9.925168E+49  7.888452E+49  1.912811E+51  2.603492E+46  2.069237E+46  5.017536E+47
  1.85E+02  2.35E+02  2.248786E+49  1.720851E+49  7.015904E+50  7.509658E+45  5.746704E+45  2.342916E+47
  2.35E+02  3.00E+02  3.089744E+48  2.781163E+48  2.123411E+50  1.313930E+45  1.182706E+45  9.029845E+46
