model,source_repo,source_commit,source_path,source_blob_sha,reference,radius_column,density_log10_column,pp_column,pep_column,hep_column,Be7_column,B8_column,N13_column,O15_column,F17_column,density_units,notes
B16_GS98,michelelucente/PEANUTS,59e3a2ae102d58f42cc1146eaca2cae68be879ce,Data/nudistr_b16_gs98.dat,f73c47cf6f2d77086634a5c180b50039e10805e7,Vinyoles et al. 2017 arXiv:1611.09867,0,2,4,5,6,7,8,9,10,11,mol/cm^3,"radius is R/Rsun; density column stores log10(ne/[cm^-3/NA]); component columns are radial neutrino-production distributions"
B16_AGSS09met,michelelucente/PEANUTS,59e3a2ae102d58f42cc1146eaca2cae68be879ce,Data/nudistr_b16_agss09.dat,d9bd29f3374c63e8ea898733a55fb7aa566a2c96,Vinyoles et al. 2017 arXiv:1611.09867,0,2,4,5,6,7,8,9,10,11,mol/cm^3,"radius is R/Rsun; density column stores log10(ne/[cm^-3/NA]); component columns are radial neutrino-production distributions"
